id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,2.4488143e-05,2.4726663e-05,3.0325675e-06,9.2806426e-05,1.7500503e-05,3.3509106e-05,2.5623135e-06,2.516332e-06,2.4866044e-05,1.9380475e-05,9.314879e-05,1.8044434e-06,2.0593729e-05,3.3872445e-06,1.769864e-05,6.1574133e-06,0.00011299632,1.3346205e-06,1.3168376e-05,1.3557547e-05,7.7012715e-05,3.3281234e-05,1.0007736e-05,7.4228187e-06,1.550554e-06,3.751734e-06,0.00024066555,3.496866e-05,1.703221e-05,1.3990419e-05,9.43198e-07,0.0024659468,0.0016185096,0.00022464931,6.078253e-06,3.0360474e-05,1.633351e-05,1.670358e-06,1.118987e-05,7.3139504e-06,1.267772e-06,7.50452e-05,2.7800354e-05,1.5541292e-06,9.815943e-05,2.9288043e-05,0.021180732,1.3758925e-06,7.1427376e-06,8.236898e-06,0.00010740107,0.9222307,9.109227e-06,0.0001618008,0.00014894818,0.0006916285,0.0011305459,8.6731274e-07,1.3642234e-06,1.4170609e-05,1.9797864e-05,1.9809157e-05,5.0221806e-06,6.938241e-06,0.0244098,0.000109554996,3.8261158e-05,5.4046535e-07,4.251144e-05,8.031616e-06,3.6629665e-06,3.1049092e-06,6.982306e-05,2.4704025e-06,0.006058265,0.0019694685,1.1352699e-06,1.4558934e-05,0.0029329148,1.4211237e-05,2.862329e-05,7.15106e-06,6.5691506e-06,0.008436233,0.0023835448,4.197326e-06,1.9912716e-06,5.7952406e-07,0.0013983123,1.7473843e-06,7.5612086e-05,7.821314e-06,4.6147734e-06,3.526121e-05,1.730201e-05,9.992176e-07,1.4590868e-06,0.00056865957,1.0306201e-05
7,1.0540053e-05,3.875949e-06,2.1971757e-05,0.00069911487,2.5446698e-06,1.0246738e-05,0.00026913336,2.8730249e-06,8.779802e-06,4.2289776e-06,1.5704834e-06,9.146215e-07,6.216953e-06,1.8854914e-06,3.4790635e-06,6.5515924e-06,1.8757348e-06,3.483597e-05,1.7933961e-06,0.00060598686,3.3896958e-06,2.496194e-06,2.0929108e-06,1.8550987e-06,2.917801e-06,8.2097324e-07,2.0632033e-05,3.9671475e-05,9.125135e-06,1.7854608e-06,1.3626605e-05,2.8376055e-05,3.170554e-05,2.7281842e-06,0.00019921048,1.3480077e-06,0.002671262,7.0920855e-06,6.768209e-05,3.3871285e-05,0.00013443052,0.00019403834,6.256032e-05,4.0424035e-05,5.730478e-06,0.0015565427,1.7536173e-06,0.001159029,5.683555e-05,1.1805993e-06,0.98016834,1.6143384e-05,3.249641e-05,2.8667697e-05,8.604502e-06,5.3262065e-05,2.1961062e-06,2.4779627e-05,0.0005557757,0.00014396923,1.5086831e-05,1.4383411e-05,8.4286125e-07,0.00017311586,4.776642e-06,2.3527166e-06,3.1151494e-06,3.0559473e-05,2.4242687e-05,0.005330567,6.667893e-07,3.557456e-06,1.6884167e-06,8.280165e-06,4.0048909e-07,4.96668e-06,0.0006551024,7.0442134e-06,1.6049818e-05,2.272077e-05,5.75447e-06,9.8865974e-05,0.0007265431,0.0013297979,0.00014984714,0.00010932451,8.830137e-05,0.0016520383,1.0090827e-06,1.2226558e-05,0.000101122714,5.8132053e-07,7.8604677e-07,3.6936714e-07,0.00015037639,3.921626e-06,0.00012701678,3.481058e-06,3.221985e-05
9,0.000110483925,0.96511304,8.992003e-06,1.9991721e-05,0.018265558,0.00011544315,2.2851282e-05,8.872758e-05,0.0010301948,0.0012293437,4.2061693e-05,0.001718605,2.5343827e-05,7.44731e-05,0.0006269094,1.3710501e-05,0.006666231,5.798226e-06,2.4103607e-05,9.953995e-05,6.134175e-05,3.5839817e-05,3.978326e-06,3.3319632e-06,9.4326066e-07,5.9774025e-05,0.0015603409,2.19668e-06,6.286314e-06,1.038706e-05,8.578397e-06,1.01538e-05,4.5742436e-05,4.8914724e-05,3.6780802e-06,0.0002172196,1.5230461e-06,1.4302504e-05,1.8128281e-05,7.361722e-06,7.823415e-06,9.9316836e-05,1.4715253e-05,4.6004952e-06,3.702012e-05,2.6662212e-06,8.323313e-06,0.00015079258,0.0004154402,6.50507e-05,5.3560066e-06,8.50501e-06,4.1036214e-06,3.049906e-05,1.7363478e-05,1.3273082e-05,5.5394667e-05,8.115553e-06,4.2441243e-06,5.9340914e-06,8.228854e-06,3.6511838e-06,8.443371e-06,1.3242636e-05,0.00011728292,3.2857242e-05,1.3663484e-05,1.6464097e-06,2.6502325e-06,8.956519e-06,1.0493995e-05,1.2013745e-05,1.0567147e-05,1.707022e-05,7.7432465e-05,2.3507957e-05,8.5669835e-06,8.146391e-06,7.2823175e-05,9.888322e-07,3.7911945e-05,4.092276e-06,1.5336321e-06,9.036155e-06,1.9055942e-05,0.00022698366,2.9602836e-06,2.1414795e-05,1.4878833e-05,7.539712e-05,9.088459e-06,1.7277831e-05,7.5911357e-06,1.4459784e-05,4.257788e-05,0.00020950435,2.0056889e-06,2.006633e-05,0.00043204817
12,2.7130645e-05,0.0046485877,2.2267803e-05,3.3063414e-05,2.9009609e-05,1.7028648e-05,0.0005084196,9.186288e-05,0.00031492623,0.00029260552,6.6819907e-06,0.0018531939,0.00025609595,0.0075999564,0.00022390853,1.4985167e-05,2.7452677e-05,0.0010218723,6.1059295e-06,0.5812187,8.349494e-06,6.8375602e-06,5.856116e-06,8.446429e-07,1.4254512e-06,1.1218074e-05,0.00076461164,5.0848835e-06,1.1873288e-06,4.7321314e-06,7.194221e-06,4.2876427e-06,5.5019438e-05,9.115777e-06,1.1366515e-05,1.7831654e-06,0.00013798646,3.151604e-05,1.5046642e-05,1.0416365e-05,3.4497072e-05,0.006240072,4.4208414e-06,1.5258122e-05,3.2920412e-05,6.56696e-05,1.8657905e-06,0.37954313,0.004678323,2.8291656e-06,6.459553e-05,1.5842024e-06,2.5203335e-05,3.5651203e-05,1.34197735e-05,5.778624e-06,2.6755877e-06,0.00013991076,0.00037383154,3.157368e-05,1.18087255e-05,1.7651159e-06,2.6616068e-05,0.00014258837,1.5305093e-05,8.264537e-06,6.818097e-06,1.2099441e-05,1.3265719e-05,6.210675e-05,3.128031e-06,8.866014e-06,3.5099972e-06,1.5638456e-05,4.6055306e-06,1.2794483e-05,4.001738e-05,1.1800034e-05,5.8866073e-05,2.4860725e-05,8.8214685e-05,2.6763697e-05,9.466158e-05,4.941016e-05,2.4812145e-05,0.0009844012,2.6501888e-05,0.00042958124,2.6614175e-06,5.8411315e-05,2.3785813e-05,6.174435e-06,3.7597922e-06,5.293447e-06,0.0004261541,0.0055593452,8.147915e-06,6.4460355e-06,0.001069733
13,0.00010882395,0.00035855902,4.8282453e-07,1.2043737e-06,3.1792377e-05,4.55719e-06,1.2153029e-05,3.6971323e-05,0.0036015948,0.00010892269,7.0738542e-06,0.02480306,0.00011109345,0.0011332191,0.9617025,2.1718085e-06,0.0037854426,2.4190584e-05,3.9647723e-05,9.91541e-06,3.299773e-05,1.8253021e-06,1.0207286e-05,9.449947e-07,2.090812e-06,4.253805e-06,0.0002673274,4.8460987e-07,8.273261e-07,1.1662208e-06,3.8722894e-07,4.6902855e-07,6.637465e-07,1.4560607e-05,5.387659e-07,3.2871216e-05,8.236694e-07,1.0530341e-06,3.883793e-06,3.2494916e-07,1.1624886e-06,3.291708e-05,1.7826993e-06,2.749335e-06,3.955495e-06,4.4626898e-07,2.4733954e-06,2.6871698e-05,0.000820274,0.00028172595,4.2911458e-07,8.0533755e-07,5.1187226e-06,4.2511324e-06,1.2411881e-06,2.1188437e-06,4.4080048e-06,3.5933504e-06,9.4599017e-07,6.3065922e-06,3.4252137e-06,2.3081022e-06,5.8327614e-06,1.0193599e-05,6.0394045e-06,7.206054e-07,4.944227e-06,7.8166545e-07,7.937401e-07,2.2837564e-06,5.442645e-06,2.4637537e-05,3.2134003e-06,4.5878855e-06,2.3885532e-05,5.6656118e-06,1.081235e-06,3.2981185e-05,7.4853255e-05,8.630524e-07,6.233103e-05,9.3824633e-07,1.5293133e-06,2.6477642e-06,3.1769173e-06,6.022374e-06,2.0708092e-06,7.478198e-07,2.2988736e-06,0.0001029629,1.9971378e-06,0.00019086161,3.097889e-06,0.00011085565,1.1066578e-05,0.001801499,2.055929e-06,9.658288e-06,4.89772e-06
16,0.0030701384,0.00048282626,0.0021686824,0.41504878,0.00012675914,0.00023164136,0.0013357106,0.0028884937,0.0013719951,0.00010841251,0.0014666037,0.00026897466,0.006235857,0.0005132789,0.0006259866,0.00052652817,0.00037465914,0.0044265115,0.0024196147,0.0040542507,0.0007347593,0.000855919,0.000543871,0.0004285668,0.0015729776,0.0004984165,0.0038001498,0.0023231092,0.00077576225,0.00018865132,0.0033843792,0.0011868828,0.0023400248,0.00041681173,0.003832995,0.00023359244,0.008384785,0.00032359237,0.0008200292,0.0010867341,0.007619112,0.010093753,0.0027408178,0.036800425,0.00070870796,0.017803019,0.00032108364,0.002693519,0.0019082403,0.0013180514,0.03446504,0.00036452484,0.025523989,0.0023311619,0.00033541815,0.0006968091,0.00016804683,0.0027998537,0.035377998,0.0014519467,0.0070720674,0.00030026876,0.0014288346,0.0012483095,0.00037170664,0.002263819,0.0006060094,0.0015634988,0.004983802,0.019598588,0.00017111286,0.0003721953,0.00013531727,0.0056252014,6.8694644e-05,0.0015736162,0.0019920098,0.00066552573,0.000115845694,0.0030269062,0.00023643622,0.046048507,0.0021897026,0.011988738,0.0016569848,0.012131614,0.13288718,0.004352761,0.00011758194,0.008099509,0.003994259,0.0033345604,0.0012419005,0.0006708066,0.030427935,0.0015821308,0.011696442,0.0013245736,0.0058358526
19,0.0020616297,0.00019005187,0.00055024837,0.8861798,3.4601875e-05,3.89532e-05,0.0002311155,0.00013962507,0.00030697047,3.5165383e-05,0.0007623696,3.295392e-05,0.0027831562,4.9477007e-05,5.033098e-05,7.088248e-05,0.0002143548,0.00015950734,0.0002978884,0.0008569532,0.00057096255,0.00019166416,5.5846434e-05,0.000129196,0.00015385776,0.0001318016,0.00017257778,8.467663e-05,0.00025921306,5.984081e-05,0.00046989953,0.00059053494,0.0010492884,8.7653476e-05,0.00051741255,4.0469666e-05,0.0013771789,0.00012705602,0.00062712334,0.00034491983,0.00047643716,0.0032842387,0.00021352542,0.0017176274,0.00013582938,0.0050609186,0.00017488873,0.00044188928,0.00050375116,0.00011514154,0.014759568,0.0002511967,0.0020011556,0.0013331843,7.718392e-05,0.0010176479,4.170691e-05,0.00013015728,0.0034932792,0.00021940607,0.0025751686,4.915245e-05,5.8005673e-05,9.171886e-05,0.00029104552,0.0020973643,6.025634e-05,0.00016984115,0.0017609725,0.008481678,2.6319627e-05,4.9329163e-05,2.5353736e-05,0.0002173472,1.3892662e-05,0.0001979807,0.0005642213,7.475259e-05,2.1369216e-05,0.0010897755,3.4117475e-05,0.0070918147,0.00040331154,0.0010647658,0.00160015,0.0069653494,0.0031410325,0.0025668286,1.055829e-05,0.00057555013,0.0018694344,0.00040515812,0.00010018468,0.00015873462,0.0126020685,9.042762e-05,0.0015392815,0.00014028496,0.0041894433
23,1.9381312e-05,5.5319317e-05,0.00014201358,0.00018747618,0.00012654896,0.0033935024,0.00013892786,5.2585256e-06,1.40355e-05,8.14359e-05,1.5172722e-05,7.700059e-06,1.6695982e-05,7.188787e-06,1.2715268e-05,0.030040361,3.3785318e-06,1.7100083e-05,6.526245e-05,4.1485e-05,0.0001235246,4.4141478e-05,0.0011645403,0.00046866856,0.00078701915,0.0003314827,8.849124e-06,1.0931191e-05,0.87764645,0.060704358,0.007036679,2.2890516e-05,0.00011383189,9.887293e-05,0.00067101186,0.00028980582,5.5302702e-05,0.00032160885,0.0005182024,0.00016716063,5.3007676e-05,3.1901782e-06,0.00027794254,7.738778e-05,2.2673987e-05,1.4603228e-05,7.442392e-06,2.7452015e-05,2.1686881e-05,1.5098631e-05,1.599499e-05,3.5409426e-05,0.00020499885,0.00012671972,0.0004923256,0.0057298075,8.808016e-05,7.558392e-05,1.7785961e-06,2.4603065e-05,5.5955392e-05,0.0003153049,3.0762396e-05,6.717921e-05,0.00013630913,7.2455325e-05,0.00035066842,0.0003477681,6.4717904e-05,0.00097616017,0.0024621044,0.00017844868,5.743156e-05,0.00020550465,7.5026237e-06,4.041308e-05,0.00022499307,5.720635e-05,1.9039244e-05,0.00026851983,0.00035047947,0.0002394331,2.0043204e-05,7.742598e-06,1.8010753e-05,5.7287856e-05,5.293089e-05,0.0001892629,3.4951336e-05,1.60958e-05,0.00012202298,3.5521112e-05,4.7841062e-05,6.695094e-05,2.8047182e-06,5.781781e-06,0.00029885158,2.936211e-05,0.00017400266
24,9.474304e-05,7.710635e-06,5.3451995e-06,1.3442239e-05,3.909856e-06,2.5552665e-05,1.3550511e-05,1.6166238e-06,0.00017492948,4.1589446e-06,4.7802696e-06,3.3158838e-07,5.344537e-06,5.5642244e-07,3.739948e-06,1.1917748e-06,4.2444502e-05,1.0355661e-06,4.2331072e-07,7.965334e-06,6.694623e-05,3.3367648e-06,8.960979e-08,9.467312e-07,2.776269e-07,2.8690029e-06,1.0922577e-05,2.134884e-06,2.0641794e-07,9.583524e-07,4.9066983e-07,0.002570382,5.415182e-05,1.1125054e-05,5.1132583e-06,1.3386762e-06,1.8347868e-05,4.769866e-05,3.416632e-05,9.08175e-05,1.1380169e-05,2.2829458e-05,5.2591995e-06,5.8688596e-07,5.483842e-06,7.939061e-05,2.5039142e-06,3.9113365e-06,7.054671e-07,1.0820262e-06,6.748767e-06,9.293943e-05,6.6398326e-07,2.4221794e-07,3.424505e-06,5.8831915e-06,4.3732362e-07,2.6658477e-06,8.166873e-06,0.00023223548,2.1557482e-06,7.659577e-07,9.082081e-08,3.4383638e-06,1.7328293e-05,1.3757273e-05,2.8456702e-07,1.17834006e-07,1.2100594e-05,6.8179406e-06,7.529192e-07,1.0099578e-06,1.9458657e-05,4.594188e-07,1.3386462e-05,7.240467e-06,3.6149427e-06,8.129895e-07,3.1583888e-05,3.5540788e-06,3.3303145e-06,1.9622994e-06,3.1247167e-05,2.0489775e-05,0.9958763,1.1279263e-05,5.5999766e-07,1.0785789e-06,4.6523655e-07,5.431088e-06,6.4561677e-06,1.075073e-06,3.555711e-07,1.2370675e-06,7.187298e-05,2.817606e-06,1.8336986e-07,1.7036791e-06,1.8205891e-06
28,0.0037425093,0.0007909424,6.993365e-06,0.00010701338,6.859864e-05,3.8157814e-05,0.00015560973,0.0017538806,0.97704506,6.233112e-05,0.0004314503,0.00062545575,0.001397893,0.00020770186,0.001896276,7.0045116e-06,0.0026697975,0.00028584377,3.3289805e-05,7.417706e-05,0.00021521337,4.7538215e-06,5.5088e-06,7.37688e-07,1.945769e-06,6.0100865e-06,0.000114884715,2.7698507e-06,3.3060473e-06,4.862296e-06,9.05651e-06,3.7853108e-05,8.0862796e-05,7.463851e-05,9.251177e-06,6.587134e-05,6.730111e-06,1.1752251e-05,1.1154868e-05,1.1207919e-05,1.3522979e-05,0.00019635921,1.10225865e-05,4.3017576e-06,7.505816e-05,2.5242167e-05,1.9200572e-05,6.04989e-05,0.00035609366,0.0002550436,1.0588092e-05,3.4690888e-06,2.2791526e-05,1.687726e-05,6.0747816e-06,1.8147299e-05,7.784805e-06,1.6692631e-05,3.692486e-05,1.8333321e-05,8.192337e-06,3.7784666e-06,8.283264e-06,1.751401e-05,5.080666e-05,6.8981826e-05,4.481361e-06,3.3574313e-06,5.8893293e-06,2.7808414e-05,8.601739e-06,6.3174125e-06,3.974149e-06,1.4238993e-05,2.7708216e-05,2.5884348e-05,1.22414385e-05,5.6411045e-06,3.1385247e-05,9.0799285e-06,2.1316224e-05,1.1529251e-05,1.6242562e-05,3.4573954e-05,0.0002033602,9.045259e-05,2.3215463e-05,6.341763e-06,1.9249076e-06,0.000701393,1.5955815e-05,0.00016210678,2.3672985e-05,0.00061432953,0.0036114177,0.00079536287,2.436216e-06,7.6158076e-06,6.0284936e-05
